id_estacion,autoridad_ambiental,estaci_n,latitud,longitud,variable,unidades,tiempo_de_exposici_n_horas,a_o,promedio,suma,no_de_datos,representatividad_temporal,excedencias_limite_actual,porcentaje_excedencias_limite,mediana,percentil_98,m_ximo,fechas_horas_del_m_ximo,m_nimo,fechas_horas_del_m_nimo,d_as_de_excedencias,c_digo_del_departamento,nombre_del_departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,ubicacion
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PST,ugm3,24,2016,58.0,1961.0,32,26.0,0,0.0,57.0,101.0,106.0,2016-01-20,33.0,2016-05-01,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
99999,CORPOCALDAS,MALTERÍA,5.039227,-75.4282,PST,ugm3,24,2016,85.6,5912.0,66,54.0,0,0.0,88.0,157.0,172.0,2016-03-11,21.0,2016-07-06,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4282, 5.039227]}"
8234,CORPOCALDAS,MILÁN,5.046763,-75.480285,PM10,ugm3,24,2016,32.0,2560.0,80,66.0,0,0.0,31.0,50.8,88.0,2016-02-04,14.0,2016-09-25,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480285, 5.046763]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM10,ugm3,24,2016,24.3,1700.0,70,57.0,0,0.0,21.0,62.1,75.0,2016-06-25,8.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2016,35.9,2873.0,80,66.0,0,0.0,34.0,58.5,77.0,2016-06-21,13.0,2016-08-02,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PST,ugm3,24,2017,46.7,2641.38,54,44.0,0,0.0,51.1,71.8,75.0,2017-10-14,22.0,2017-10-05,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
99999,CORPOCALDAS,MALTERÍA,5.039227,-75.4282,PST,ugm3,24,2017,69.4,6991.26,98,80.0,0,0.0,70.1,109.0,132.5,2017-08-09,39.0,2017-12-10,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4282, 5.039227]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM10,ugm3,24,2017,26.7,2271.35,85,70.0,0,0.0,25.9,41.3,49.0,2017-11-17,12.0,2017-12-16,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
8234,CORPOCALDAS,MILÁN,5.046763,-75.480285,PM10,ugm3,24,2017,30.6,2910.56,95,78.0,0,0.0,30.0,51.4,54.0,,13.0,2017-03-24,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480285, 5.046763]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2017,34.5,3143.29,91,75.0,0,0.0,35.1,53.2,59.0,2017-03-09,16.0,2017-10-29,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
